ServerName	Server Contract 	Install Server
lp34xen28	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp34xen29	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp34xen30	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp34xen31	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp34xen32	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp34xenmq03	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp34xenmq04	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen43	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen44	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen45	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen46	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen47	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen48	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen49	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen50	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen51	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen52	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen53	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxen54	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenag01	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenag02	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenag03	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenag04	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb31	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb32	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb33	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb34	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb35	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb36	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb37	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb38	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb39	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendb40	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendbag03	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxendbag04	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxeninf15	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxeninf16	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenpwa12001	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenpwa12002	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenpwb12001	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpbkxenpwb12002	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen013	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen014	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen015	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen016	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen017	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen018	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen019	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen022	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen023	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxen024	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb009	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb010	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb011	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb012	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb013	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb014	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb301	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxendb302	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxeneai01	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxeneai02	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenfind001	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenfind002	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenfind003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenfind004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenmq11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenmq12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenppg005	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenppg006	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenppgdk001	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenppgdk002	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenppgdk003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenppgdk004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwa003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwa004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwa2020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwa2021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwb003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwb004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwb2020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxenpwb2021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxensor003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxensor004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwa003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwa004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwa2020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwa2021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwb003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwb004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwb2020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpsbxentwb2021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1025	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1026	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1027	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1028	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1029	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1030	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1033	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1034	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1037	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1038	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1039	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1040	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1041	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1042	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1043	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1044	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1045	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1046	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1047	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1048	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1049	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1050	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1051	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1052	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1053	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxen1054	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenasc03	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenasc04	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxencloud03	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxencloud04	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxencloud05	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxencloud06	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxencloud07	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxencloud08	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb059	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb060	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb061	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb062	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb065	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb066	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb067	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb068	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb071	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb072	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb073	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb074	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb075	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb076	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb077	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb078	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb081	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb082	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb083	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb084	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb401	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb402	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb403	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb404	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb405	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb406	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb407	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb408	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb409	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb410	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb411	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb412	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb413	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb414	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb415	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb416	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb417	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb418	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb419	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb420	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb421	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendb422	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendig031	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendig032	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendk05	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendk06	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendk09	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendk10	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendrbd113	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxendrbd114	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxeninf09	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxeninf10	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxeninf11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxeninf12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxeninf13	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxeninf14	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenmq09	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenmq10	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenmq11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenmq12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenmq13	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenmq14	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2v11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2v12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2va11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2va12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2vb11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2vb12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpb2vmqn05	IAAS_NTT_LI-UX_SRV	lpinstiaas02
