ServerName	Server Contract 	Install Server
lp10xen1031	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen1032	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen17	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen18	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen19	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen20	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen21	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen22	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen23	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen24	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen25	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen26	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen27	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen28	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen29	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xen30	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xendk03	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xendk04	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenfs03	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenfs04	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips11	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips12	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips13	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips14	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips15	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips16	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips17	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenips18	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenmq07	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenmq08	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenp12003	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenp12004	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenpb2v09	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenpb2v10	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenpb2v11	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenpb2v12	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenpb2va13	IAAS_NTT_LI-UX_SRV	lp10instiaas02
lp10xenpb2va14	IAAS_NTT_LI-UX_SRV	lp10instiaas02
